name,year,pop
Matsuyama,2000,508266.0
Matsuyama,2005,514937.0
Matsuyama,2010,517231.0
Matsuyama,2015,514865.0
Mitaka,1995,165721.0
Mitaka,2000,171612.0
Mitaka,2005,177016.0
Mitaka,2010,186083.0
Mitaka,2015,186936.0
Mito,1995,261275.0
Mito,2000,261562.0
Mito,2005,262603.0
Mito,2010,268750.0
Mito,2015,270783.0
Miyakonoj?,1995,174054.0
Miyakonoj?,2000,171812.0
Miyakonoj?,2005,170955.0
Miyakonoj?,2010,169602.0
Miyakonoj?,2015,165029.0
Miyazaki,1995,384391.0
Miyazaki,2000,392178.0
Miyazaki,2005,395593.0
Miyazaki,2010,400583.0
Miyazaki,2015,401138.0
Morioka,1995,300723.0
Morioka,2000,302857.0
Morioka,2005,300746.0
Morioka,2010,298348.0
Morioka,2015,297631.0
Nagano,1995,387359.0
Nagano,2000,387911.0
Nagano,2005,386572.0
Nagano,2010,381511.0
Nagano,2015,377598.0
Nagaoka,1995,293250.0
Nagaoka,2000,292887.0
Nagaoka,2005,288457.0
Nagaoka,2010,282674.0
Nagaoka,2015,275133.0
Nagareyama,1995,146245.0
Nagareyama,2000,150527.0
Nagareyama,2005,152641.0
Nagareyama,2010,163984.0
Nagareyama,2015,174373.0
Nagasaki,1995,487063.0
Nagasaki,2000,470135.0
Nagasaki,2005,455206.0
Nagasaki,2010,443766.0
Nagasaki,2015,429508.0
Nagoya,1995,2152184.0
Nagoya,2000,2171557.0
Nagoya,2005,2215062.0
Nagoya,2010,2263894.0
Nagoya,2015,2295638.0
Naha,1995,301890.0
Naha,2000,301032.0
Naha,2005,312393.0
Naha,2010,315954.0
Naha,2015,319435.0
Nara,1995,368039.0
Nara,2000,374944.0
Nara,2005,370102.0
Nara,2010,366591.0
Nara,2015,360310.0
Narashino,1995,152887.0
Narashino,2000,154036.0
Narashino,2005,158785.0
Narashino,2010,164530.0
Narashino,2015,167909.0
Neyagawa,1995,258443.0
Neyagawa,2000,250806.0
Neyagawa,2005,241816.0
Neyagawa,2010,238204.0
Neyagawa,2015,237518.0
Niigata,1995,796456.0
Niigata,2000,808969.0
Niigata,2005,813847.0
Niigata,2010,811901.0
Niigata,2015,810157.0
Niiza,1995,144726.0
Niiza,2000,149511.0
Niiza,2005,153305.0
Niiza,2010,158777.0
Niiza,2015,162122.0
Nishinomiya,1995,390389.0
Nishinomiya,2000,438105.0
Nishinomiya,2005,465337.0
Nishinomiya,2010,482640.0
Nishinomiya,2015,487850.0
Nishio,1995,158693.0
Nishio,2000,159788.0
Nishio,2005,163232.0
Nishio,2010,165298.0
Nishio,2015,167990.0
Nishit?ky? (Hoya - Tanashi),1995,175073.0
Nishit?ky? (Hoya - Tanashi),2000,180885.0
Nishit?ky? (Hoya - Tanashi),2005,189735.0
Nishit?ky? (Hoya - Tanashi),2010,196511.0
Nishit?ky? (Hoya - Tanashi),2015,200012.0
Noda,1995,152245.0
Noda,2000,151197.0
Noda,2005,151240.0
Noda,2010,155491.0
Noda,2015,153583.0
Numazu,1995,216470.0
Numazu,2000,211559.0
Numazu,2005,208005.0
Numazu,2010,202304.0
Numazu,2015,195633.0
Obihiro,1995,171715.0
Obihiro,2000,173030.0
Obihiro,2005,170580.0
Obihiro,2010,168057.0
Obihiro,2015,169327.0
Odawara,1995,200103.0
Odawara,2000,200173.0
Odawara,2005,198741.0
Odawara,2010,198327.0
Odawara,2015,194086.0
?gaki,1995,161679.0
?gaki,2000,161827.0
?gaki,2005,162070.0
?gaki,2010,161160.0
?gaki,2015,159879.0
?ita,1995,446581.0
?ita,2000,454424.0
?ita,2005,462317.0
?ita,2010,474094.0
?ita,2015,478146.0
Okayama,1995,663346.0
Okayama,2000,674375.0
Okayama,2005,696172.0
Okayama,2010,709584.0
Okayama,2015,719474.0
Okazaki,1995,332136.0
Okazaki,2000,345997.0
Okazaki,2005,363807.0
Okazaki,2010,372357.0
Okazaki,2015,381051.0
?saka [Osaka],1995,2602421.0
?saka [Osaka],2000,2598774.0
?saka [Osaka],2005,2628811.0
?saka [Osaka],2010,2665314.0
?saka [Osaka],2015,2691185.0
?ta,1995,203599.0
?ta,2000,210022.0
?ta,2005,213160.0
?ta,2010,216465.0
?ta,2015,219807.0
?tsu,1995,295574.0
?tsu,2000,309793.0
?tsu,2005,323719.0
?tsu,2010,337634.0
?tsu,2015,340973.0
Oyama,1995,150115.0
Oyama,2000,155198.0
Oyama,2005,160150.0
Oyama,2010,164454.0
Oyama,2015,166760.0
Saga,1995,246674.0
Saga,2000,243076.0
Saga,2005,241361.0
Saga,2010,237506.0
Saga,2015,236372.0
Sagamihara,1995,646516.0
Sagamihara,2000,681150.0
Sagamihara,2005,701620.0
Sagamihara,2010,717515.0
Sagamihara,2015,720780.0
"Saitama (Urawa, ?miya, Yono, Iwatsuki)",1995,1078545.0
"Saitama (Urawa, ?miya, Yono, Iwatsuki)",2000,1133300.0
"Saitama (Urawa, ?miya, Yono, Iwatsuki)",2005,1176314.0
"Saitama (Urawa, ?miya, Yono, Iwatsuki)",2010,1222434.0
"Saitama (Urawa, ?miya, Yono, Iwatsuki)",2015,1263979.0
Sakai,1995,840384.0
Sakai,2000,829636.0
Sakai,2005,830966.0
Sakai,2010,841966.0
Sakai,2015,839310.0
Sakura,1995,162624.0
Sakura,2000,170934.0
Sakura,2005,171246.0
Sakura,2010,172183.0
Sakura,2015,172739.0
